      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.339      122     (    0    0    0
    0:00.400      144     p    0    0    0
    0:00.447      161     )    0    0    0
    0:00.464      167     (    0    0    1
    0:00.572      206     N    0    0    0
    0:00.614      221     )    0    0    1
    0:00.708      255     (    0    0    2
    0:00.797      287     t    0    0    4
    0:00.919      331     t    0    0    4
    0:00.994      358     )    0    0    2
    0:01.142      411     (    0    0    0
    0:01.178      424     p    0    0    0
    0:01.222      440     )    0    0    0
    0:01.264      455     (    0    0    1
    0:01.342      483     N    0    0    0
    0:01.367      492     )    0    0    1
    0:01.500      540     (    0    0    2
    0:01.572      566     t    0    0    4
    0:01.686      607     t    0    0    4
    0:01.803      649     )    0    0    2
    0:01.914      689     (    0    0    0
    0:01.953      703     p    0    0    0
    0:02.006      722     )    0    0    0
    0:02.031      731     (    0    0    1
    0:02.114      761     N    0    0    0
    0:02.142      771     )    0    0    1
    0:02.231      803     (    0    0    2
    0:02.347      845     t    0    0    4
    0:02.472      890     t    0    0    4
    0:02.567      924     )    0    0    2
    0:02.689      968     (    0    0    0
    0:02.728      982     p    0    0    0
    0:02.778     1000     )    0    0    0
    0:02.800     1008     (    0    0    1
    0:02.878     1036     N    0    0    0
    0:02.919     1051     )    0    0    1
    0:03.025     1089     (    0    0    2
    0:03.100     1116     t    0    0    4
    0:03.217     1158     t    0    0    4
    0:03.314     1193     )    0    0    2
    0:03.428     1234     (    0    0    0
    0:03.475     1251     p    0    0    0
    0:03.525     1269     )    0    0    0
    0:03.567     1284     (    0    0    1
    0:03.633     1308     N    0    0    0
    0:03.675     1323     )    0    0    1
    0:03.742     1347     (    0    0    2
    0:03.844     1384     t    0    0    4
    0:03.950     1422     t    0    0    4
    0:04.047     1457     )    0    0    2
    0:04.186     1507     (    0    0    0
    0:04.217     1518     p    0    0    0
    0:04.261     1534     )    0    0    0
    0:04.300     1548     (    0    0    1
    0:04.378     1576     N    0    0    0
    0:04.428     1594     )    0    0    1
    0:04.500     1620     (    0    0    2
    0:04.600     1656     t    0    0    4
    0:04.736     1705     t    0    0    4
    0:04.792     1725     )    0    0    2
    0:04.947     1781     (    0    0    0
    0:04.986     1795     p    0    0    0
    0:05.042     1815     )    0    0    0
    0:05.086     1831     (    0    0    1
    0:05.158     1857     N    0    0    0
    0:05.183     1866     )    0    0    1
    0:05.272     1898     (    0    0    2
    0:05.383     1938     t    0    0    4
    0:05.503     1981     t    0    0    4
    0:05.581     2009     )    0    0    2
    0:05.692     2049     (    0    0    0
    0:05.747     2069     p    0    0    0
    0:05.797     2087     )    0    0    0
    0:05.831     2099     (    0    0    1
    0:05.906     2126     N    0    0    0
    0:05.933     2136     )    0    0    1
    0:06.044     2176     (    0    0    2
    0:06.136     2209     t    0    0    4
    0:06.267     2256     t    0    0    4
    0:06.325     2277     )    0    0    2
    0:06.436     2317     (    0    0    0
    0:06.475     2331     p    0    0    0
    0:06.519     2347     )    0    0    0
    0:06.558     2361     (    0    0    1
    0:06.622     2384     N    0    0    0
    0:06.653     2395     )    0    0    1
    0:06.794     2446     (    0    0    2
    0:06.853     2467     t    0    0    1
    0:06.942     2499     )    0    0    2
    0:07.158     2577     (    0    0    0
    0:07.194     2590     p    0    0    0
    0:07.250     2610     )    0    0    0
    0:07.292     2625     (    0    0    1
    0:07.356     2648     N    0    0    0
    0:07.381     2657     )    0    0    1
    0:07.503     2701     (    0    0    2
    0:07.586     2731     t    0    0    4
    0:07.711     2776     t    0    0    4
    0:07.794     2806     )    0    0    2
    0:07.892     2841     (    0    0    0
    0:07.928     2854     p    0    0    0
    0:07.972     2870     )    0    0    0
    0:08.003     2881     (    0    0    1
    0:08.083     2910     N    0    0    0
    0:08.125     2925     )    0    0    1
    0:08.244     2968     (    0    0    2
    0:08.308     2991     t    0    0    4
    0:08.419     3031     t    0    0    4
    0:08.531     3071     )    0    0    2
    0:08.619     3103     (    0    0    0
    0:08.664     3119     p    0    0    0
    0:08.714     3137     )    0    0    0
    0:08.756     3152     (    0    0    1
    0:08.822     3176     N    0    0    0
    0:08.872     3194     )    0    0    1
    0:08.925     3213     (    0    0    2
    0:09.047     3257     t    0    0    4
    0:09.164     3299     t    0    0    4
    0:09.258     3333     )    0    0    2
    0:09.350     3366     (    0    0    0
    0:09.406     3386     p    0    0    0
    0:09.461     3406     )    0    0    0
    0:09.500     3420     (    0    0    1
    0:09.572     3446     N    0    0    0
    0:09.617     3462     )    0    0    1
    0:09.703     3493     (    0    0    2
    0:09.792     3525     t    0    0    4
    0:09.908     3567     t    0    0    4
    0:10.008     3603     )    0    0    2
    0:10.097     3635     (    0    0    0
    0:10.147     3653     p    0    0    0
    0:10.194     3670     )    0    0    0
    0:10.233     3684     (    0    0    1
    0:10.311     3712     N    0    0    0
    0:10.353     3727     )    0    0    1
    0:10.444     3760     (    0    0    2
    0:10.531     3791     t    0    0    4
    0:10.653     3835     t    0    0    4
    0:10.736     3865     )    0    0    2
    0:10.825     3897     (    0    0    0
    0:10.867     3912     p    0    0    0
    0:10.922     3932     )    0    0    0
    0:10.961     3946     (    0    0    1
    0:11.025     3969     N    0    0    0
    0:11.075     3987     )    0    0    1
    0:11.156     4016     (    0    0    2
    0:11.250     4050     t    0    0    4
    0:11.364     4091     t    0    0    4
    0:11.461     4126     )    0    0    2
    0:11.564     4163     (    0    0    0
    0:11.603     4177     p    0    0    0
    0:11.656     4196     )    0    0    0
    0:11.703     4213     (    0    0    1
    0:11.775     4239     N    0    0    0
    0:11.817     4254     )    0    0    1
    0:11.914     4289     (    0    0    2
    0:12.011     4324     t    0    0    4
    0:12.131     4367     t    0    0    4
    0:12.236     4405     )    0    0    2
    0:12.339     4442     (    0    0    0
    0:12.381     4457     p    0    0    0
    0:12.428     4474     )    0    0    0
    0:12.467     4488     (    0    0    1
    0:12.544     4516     N    0    0    0
    0:12.586     4531     )    0    0    1
    0:12.656     4556     (    0    0    2
    0:12.767     4596     t    0    0    4
    0:12.886     4639     t    0    0    4
    0:12.986     4675     )    0    0    2
    0:13.081     4709     (    0    0    0
    0:13.119     4723     p    0    0    0
    0:13.169     4741     )    0    0    0
    0:13.206     4754     (    0    0    1
    0:13.278     4780     N    0    0    0
    0:13.319     4795     )    0    0    1
    0:13.381     4817     (    0    0    2
    0:13.483     4854     t    0    0    4
    0:13.594     4894     t    0    0    4
    0:13.672     4922     )    0    0    2
    0:13.789     4964     (    0    0    0
    0:13.831     4979     p    0    0    0
    0:13.881     4997     )    0    0    0
    0:13.931     5015     (    0    0    1
    0:13.994     5038     N    0    0    0
    0:14.033     5052     )    0    0    1
    0:14.139     5090     (    0    0    2
    0:14.211     5116     t    0    0    4
    0:14.319     5155     t    0    0    4
    0:14.431     5195     )    0    0    2
    0:14.531     5231     (    0    0    0
    0:14.567     5244     p    0    0    0
    0:14.617     5262     )    0    0    0
    0:14.664     5279     (    0    0    1
    0:14.728     5302     N    0    0    0
    0:14.753     5311     )    0    0    1
    0:14.850     5346     (    0    0    2
    0:14.939     5378     t    0    0    4
    0:15.061     5422     t    0    0    4
    0:15.153     5455     )    0    0    2
    0:15.264     5495     (    0    0    0
    0:15.303     5509     p    0    0    0
    0:15.358     5529     )    0    0    0
    0:15.403     5545     (    0    0    1
    0:15.472     5570     N    0    0    0
    0:15.497     5579     )    0    0    1
    0:15.608     5619     (    0    0    2
    0:15.694     5650     t    0    0    4
    0:15.817     5694     t    0    0    4
    0:15.897     5723     )    0    0    2
