      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.794      286     (    0    0    1
    0:00.983      354     V    0    0    0
    0:01.311      472     )    0    0    1
    0:01.392      501     (    0    0    2
    0:01.531      551     t    0    0    0
    0:01.667      600     )    0    0    2
    0:02.272      818     (    0    0    1
    0:02.319      835     R    0    0    0
    0:02.386      859     )    0    0    1
    0:02.544      916     t    0    0    2
    0:02.714      977     )    0    0    2
    0:02.861     1030     (    0    0    0
    0:02.903     1045     p    0    0    0
    0:02.950     1062     )    0    0    0
    0:02.953     1063     (    0    0    1
    0:03.000     1080     V    0    0    0
    0:03.156     1136     )    0    0    1
    0:03.158     1137     t    0    0    2
    0:03.339     1202     )    0    0    2
    0:04.183     1506     (    0    0    0
    0:04.244     1528     p    0    0    0
    0:04.331     1559     )    0    0    0
    0:04.350     1566     (    0    0    1
    0:04.411     1588     R    0    0    0
    0:04.475     1611     )    0    0    1
    0:04.531     1631     )    0    0    2
    0:04.564     1643     t    0    0    0
    0:04.597     1655     (    0    0    2
    0:04.842     1743     (    0    0    0
    0:04.878     1756     p    0    0    0
    0:04.964     1787     )    0    0    0
    0:04.992     1797     (    0    0    1
    0:05.064     1823     V    0    0    0
    0:05.117     1842     )    0    0    1
    0:05.214     1877     t    0    0    2
    0:05.508     1983     )    0    0    2
    0:06.406     2306     (    0    0    1
    0:06.506     2342     R    0    0    0
    0:06.569     2365     )    0    0    1
    0:06.675     2403     (    0    0    2
    0:06.906     2486     t    0    0    0
    0:06.983     2514     )    0    0    2
    0:07.158     2577     (    0    0    1
    0:07.211     2596     V    0    0    0
    0:07.269     2617     )    0    0    1
    0:07.436     2677     t    0    0    2
    0:07.572     2726     )    0    0    2
    0:08.597     3095     (    0    0    1
    0:08.642     3111     R    0    0    0
    0:08.706     3134     )    0    0    1
    0:08.808     3171     (    0    0    2
    0:09.061     3262     t    0    0    0
    0:09.097     3275     )    0    0    2
    0:09.239     3326     (    0    0    1
    0:09.328     3358     V    0    0    0
    0:09.381     3377     )    0    0    1
    0:09.561     3442     t    0    0    2
    0:09.689     3488     )    0    0    2
    0:10.672     3842     (    0    0    1
    0:10.717     3858     R    0    0    0
    0:10.764     3875     )    0    0    1
    0:10.881     3917     (    0    0    2
    0:11.111     4000     t    0    0    0
    0:11.153     4015     )    0    0    2
    0:11.219     4039     (    0    0    0
    0:11.269     4057     p    0    0    0
    0:11.319     4075     )    0    0    0
    0:11.322     4076     (    0    0    1
    0:11.369     4093     V    0    0    0
    0:11.433     4116     )    0    0    1
    0:11.583     4170     t    0    0    2
    0:11.753     4231     )    0    0    2
    0:12.833     4620     (    0    0    1
    0:12.881     4637     R    0    0    0
    0:12.947     4661     )    0    0    1
    0:13.406     4826     (    0    0    0
    0:13.483     4854     p    0    0    0
    0:13.539     4874     )    0    0    0
    0:13.542     4875     (    0    0    1
    0:13.586     4891     V    0    0    0
    0:13.719     4939     )    0    0    1
    0:13.728     4942     (    0    0    2
    0:14.011     5044     t    0    0    0
    0:14.061     5062     )    0    0    2
    0:14.978     5392     (    0    0    1
    0:15.022     5408     R    0    0    0
    0:15.086     5431     )    0    0    1
    0:15.272     5498     t    0    0    2
    0:15.400     5544     )    0    0    2
    0:15.528     5590     (    0    0    0
    0:15.597     5615     p    0    0    0
    0:15.647     5633     )    0    0    0
    0:15.650     5634     (    0    0    1
    0:15.689     5648     V    0    0    0
    0:15.839     5702     )    0    0    1
    0:15.842     5703     t    0    0    2
    0:16.056     5780     )    0    0    2
    0:17.064     6143     (    0    0    1
    0:17.111     6160     R    0    0    0
    0:17.175     6183     )    0    0    1
    0:17.303     6229     (    0    0    2
