      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.736      265     (    0    0    0
    0:00.775      279     p    0    0    0
    0:00.833      300     )    0    0    0
    0:00.867      312     (    0    0    1
    0:00.964      347     L    0    0    0
    0:01.064      383     )    0    0    1
    0:01.106      398     (    0    0    2
    0:01.206      434     t    0    0    1
    0:01.300      468     )    0    0    2
    0:01.772      638     (    0    0    1
    0:01.836      661     L    0    0    0
    0:01.931      695     )    0    0    1
    0:01.975      711     (    0    0    2
    0:02.075      747     t    0    0    1
    0:02.161      778     )    0    0    2
    0:02.650      954     (    0    0    1
    0:02.711      976     L    0    0    0
    0:02.800     1008     )    0    0    1
    0:02.853     1027     (    0    0    2
    0:02.944     1060     t    0    0    1
    0:03.033     1092     )    0    0    2
    0:03.525     1269     (    0    0    1
    0:03.586     1291     L    0    0    0
    0:03.683     1326     )    0    0    1
    0:03.783     1362     (    0    0    2
    0:03.839     1382     t    0    0    1
    0:03.939     1418     )    0    0    2
    0:04.242     1527     (    0    0    0
    0:04.283     1542     p    0    0    0
    0:04.347     1565     )    0    0    0
    0:04.378     1576     (    0    0    1
    0:04.467     1608     L    0    0    0
    0:04.494     1618     )    0    0    1
    0:04.597     1655     (    0    0    2
    0:04.700     1692     t    0    0    1
    0:04.783     1722     )    0    0    2
    0:05.072     1826     (    0    0    0
    0:05.117     1842     p    0    0    0
    0:05.169     1861     )    0    0    0
    0:05.208     1875     (    0    0    1
    0:05.297     1907     L    0    0    0
    0:05.383     1938     )    0    0    1
    0:05.431     1955     (    0    0    2
    0:05.528     1990     t    0    0    1
    0:05.614     2021     )    0    0    2
    0:05.839     2102     (    0    0    1
    0:05.969     2149     V    0    0    0
    0:06.067     2184     )    0    0    1
    0:06.092     2193     (    0    0    2
    0:06.203     2233     t    0    0    0
    0:06.322     2276     )    0    0    2
    0:06.675     2403     (    0    0    0
    0:06.725     2421     p    0    0    0
    0:06.769     2437     )    0    0    0
    0:06.819     2455     (    0    0    1
    0:06.889     2480     L    0    0    0
    0:06.919     2491     )    0    0    1
    0:07.031     2531     (    0    0    2
    0:07.117     2562     t    0    0    1
    0:07.203     2593     )    0    0    2
    0:07.436     2677     (    0    0    0
    0:07.483     2694     p    0    0    0
    0:07.536     2713     )    0    0    0
    0:07.578     2728     (    0    0    1
    0:07.664     2759     L    0    0    0
    0:07.761     2794     )    0    0    1
    0:07.819     2815     (    0    0    2
    0:07.911     2848     t    0    0    1
    0:08.014     2885     )    0    0    2
    0:08.275     2979     (    0    0    0
    0:08.344     3004     p    0    0    0
    0:08.394     3022     )    0    0    0
    0:08.472     3050     (    0    0    1
    0:08.539     3074     L    0    0    0
    0:08.578     3088     )    0    0    1
    0:08.581     3089     t    0    0    3
    0:08.797     3167     )    0    0    2
    0:08.917     3210     (    0    0    1
    0:09.061     3262     V    0    0    0
    0:09.103     3277     )    0    0    1
    0:09.172     3302     (    0    0    2
    0:09.308     3351     t    0    0    0
    0:09.481     3413     )    0    0    2
    0:10.194     3670     (    0    0    1
    0:10.264     3695     L    0    0    0
    0:10.303     3709     )    0    0    1
